bin	fieldsample_barcode	Completeness_CheckM1	Contamination_CheckM1	Strain_Heterogeneity	Completeness_CheckM2	Contamination_CheckM2	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Contigs	Max_Contig_Length	N90	auN	N_per_100kb	cov	r_abund	CDS_all	CDS_hyp	bakta_tRNA_all	bakta_tRNA_uniq	bakta_16S	bakta_23S	bakta_5S	bac_16S	bac_23S	bac_5S	arc_16S	arc_23S	arc_5S	bac_trna	arc_trna	MAG_status	MAG_status2	drep_cluster	rep_status	ENA_ID	GTDB_taxonomy	GTDB_REF	GTDB_ANI	GTDB_AF	GTDB_MSA	GTDB_RED	SILVA_taxonomy	SILVA_identity	SILVA_length
MFD01223.bin.2.75	MFD01223	89.74	2.98	61.54	87.79	4.41	0.819	166090	251.7731932	3492784	63.32	33	521694	60849	235805	0	13.788149	0.2899469	3641	1339	41	20	1	1	1	1	1	1	1	2	1	21	21	MQ	MQ	10741_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	N/A	N/A	N/A	85.9	0.99504	AY080914.1.1449 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;uncultured bacterium	99.4	1449
MFD01248.bin.2.65	MFD01248	94.54	5.9	61.76	93.16	5.71	0.797	5223562	229.7886355	6741029	59.37	4	5223562	981060	4232163.7	0	40.49641	0.5794806	7267	3035	82	21	1	1	1	1	1	1	1	2	1	22	22	MQ	MQ	10192_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella sp002890675	GCA_002890675.1	95.86	0.732	92.25	N/A	DQ823224.1.1465 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Incertae Sedis;uncultured bacterium	99.3	1465
MFD01299.bin.2.140	MFD01299	79.4	4.92	70.59	74.12	4.72	0.788	49682	240.053885	4500620	61.55	132	174729	16739	63824.5	0	12.132779	0.08992989	4616	2235	44	21	1	1	0	1	1	0	1	1	0	22	22	MQ	MQ	10414_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	GCA_003153975.1	81.62	0.15	74.14	0.96936	AB364708.1.1402 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured bacterium	99.8	1402
MFD01299.bin.2.141	MFD01299	78.48	4.08	60.71	77.53	6.2	0.788	45656	242.0297756	4367303	62.32	140	156649	16625	56595.7	0	12.71473	0.0942434	4463	2216	42	18	0	0	1	0	0	1	0	0	1	18	18	MQ	MQ	10417_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	GCA_003153975.1	82.32	0.212	67.92	0.96147	NA	NA	NA
MFD01299.bin.2.191	MFD01299	66.82	2.39	30	66.82	1.16	0.799	61858	215.0134497	3388296	63.91	87	203921	16807	82367	0	21.743101	0.16116297	3844	1921	42	19	3	2	2	3	2	2	3	4	2	20	19	MQ	MQ	10741_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	N/A	N/A	N/A	57.82	0.99448	AY080914.1.1449 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;uncultured bacterium	99.7	1449
MFD01476.bin.1.149	MFD01476	90.47	1.21	33.33	90.03	0.58	0.816	513214	284.6280357	5837047	60.13	21	760852	160286	443160.5	0	15.029156	0.116912074	5485	2139	47	20	2	2	2	2	2	2	2	4	2	21	21	HQ	HQ	10405_0	TRUE	GCA_963721975	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	91.18	0.93095	JX505155.1.1403 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Hyphomicrobiaceae bacterium	99.2	1403
MFD01476.bin.1.154	MFD01476	87.61	1.01	0	92.64	0.93	0.825	598137	273.1336576	4268813	60.9	17	925890	108655	483851.2	0	15.748345	0.12250664	4253	1684	45	21	1	1	1	1	1	1	1	2	1	22	22	HQ	HQ	10403_0	TRUE	GCA_963727795	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	83.69	0.93212	JX505155.1.1403 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Hyphomicrobiaceae bacterium	99	1404
MFD01476.bin.1.182	MFD01476	95.86	0.63	50	93.65	0.44	0.875	955599	291.7474864	3473807	64.06	7	1236115	514569	900606.1	0	17.863415	0.13895983	3449	643	49	21	2	2	2	2	2	2	2	4	2	22	22	HQ	HQ	10739_0	TRUE	GCA_963806665	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	GCA_002929055.1	83.76	0.392	89.81	0.9872	AJTV01000076.4179.5639 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;Methylocystis parvus OBBP	99.2	1461
MFD01476.bin.2.10	MFD01476	56.23	1.61	75	58.01	1.24	0.815	67988	234.4419558	2716652	60.82	52	137162	26670	71189.8	0	9.514395	0.07401264	3066	1595	19	13	0	0	0	0	0	0	0	0	0	13	13	MQ	MQ	10404_0	TRUE	GCA_963730255	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	46.34	0.93044	NA	NA	NA
MFD01476.bin.2.101	MFD01476	75.33	2.63	100	80.53	3.29	0.827	121768	260.1555665	3818433	59.54	46	398390	40058	144278.7	0	16.41053	0.12765782	3916	1717	35	15	1	1	1	1	1	1	1	2	1	16	16	MQ	MQ	10395_0	TRUE	GCA_963833565	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	72.57	0.93383	JX505155.1.1403 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Hyphomicrobiaceae bacterium	99.1	1403
MFD01476.bin.2.118	MFD01476	71.25	2.42	87.5	75.95	0.98	0.804	115084	247.61278	3610305	59.48	34	378572	61356	164593.4	0	13.479032	0.10485363	3737	1757	36	17	1	1	1	1	1	1	1	2	1	17	17	MQ	MQ	10401_0	TRUE	GCA_963772105	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	69.87	0.93339	JX505155.1.1403 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Hyphomicrobiaceae bacterium	99.5	1403
MFD01476.bin.2.12	MFD01476	79.13	8.93	67.57	65.34	5.99	0.794	58876	218.6969561	3657271	63.72	92	232126	18030	82741.2	0	17.761358	0.1381659	4110	2136	44	17	1	1	1	1	1	1	1	2	1	17	16	MQ	MQ	10741_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	N/A	N/A	N/A	66.06	0.99334	AY080914.1.1449 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;uncultured bacterium	99.2	1451
MFD01476.bin.2.131	MFD01476	66.82	3.41	83.33	75.01	4.04	0.814	67853	239.2456964	2798630	65.01	54	252994	27536	92066.1	0	22.139423	0.17222296	3078	1223	26	13	0	0	0	0	0	0	0	0	0	13	12	MQ	MQ	10726_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	GCF_027925445.1	84.37	0.322	58.05	0.98998	NA	NA	NA
MFD01476.bin.2.153	MFD01476	93.1	2	12.5	88.63	3.33	0.81	280286	251.9181935	5773200	60.97	28	921649	118511	401669.3	0	11.936771	0.092856355	5785	2924	51	22	1	1	1	1	1	1	1	2	1	23	22	MQ	MQ	10413_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	82.42	0.94881	AB364708.1.1402 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured bacterium	99.7	1402
MFD01476.bin.2.163	MFD01476	82.72	1.65	75	83.99	2.55	0.804	132386	253.5919365	4623421	59.25	76	288363	23936	123233.1	0	11.343075	0.08823798	4675	2073	45	20	1	1	1	1	1	1	1	2	1	21	21	MQ	MQ	10392_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	79.01	0.93166	JF733443.1.1444 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Rhodomicrobium sp.	99.1	1444
MFD01476.bin.2.178	MFD01476	81.62	2.51	72.73	80.56	4.64	0.804	79190	244.2974599	4066623	59.8	71	282222	26986	102293.1	0	10.965775	0.08530295	4281	2030	38	18	0	0	0	0	0	0	0	0	0	18	18	MQ	MQ	10393_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	75.83	0.9317	NA	NA	NA
MFD01476.bin.2.49	MFD01476	79.9	3.17	46.67	65.46	2.15	0.836	137355	246.09303	3048110	63.74	35	292251	38710	154116.8	0	11.439727	0.08898983	3377	1251	46	18	2	2	2	2	2	2	2	4	2	19	18	MQ	MQ	10740_0	TRUE	GCA_963713845	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	N/A	N/A	N/A	62.54	0.98514	AJ458473.1.1407 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;Methylocystis echinoides	99.3	1407
MFD01476.bin.2.76	MFD01476	90.89	2.64	16.67	89.21	1.73	0.855	260056	265.577672	4288634	57.15	24	470187	98444	279697.5	0	14.17839	0.11029394	4526	1517	50	21	2	2	3	2	2	3	2	2	3	22	22	MQ	MQ	3181_0	TRUE	GCA_963753955	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylumidiphilus;s__	N/A	N/A	N/A	83.08	0.92414	JN397716.1.1458 Bacteria;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylococcaceae;Incertae Sedis;uncultured bacterium	89.7	418
MFD01476.bin.3.18	MFD01476	66.61	1.92	57.14	59.03	1.94	0.793	107875	226.0694591	4033415	61.54	56	265917	38713	115332.2	0	12.4306345	0.09669813	4462	2604	29	19	0	0	0	0	0	0	0	0	0	19	17	MQ	MQ	10416_0	TRUE	GCA_963713885	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	43.63	0.9536	NA	NA	NA
MFD01561.bin.3.236	MFD01561	56.72	3.65	27.78	54.6	1.13	0.799	145393	199.0388802	2852664	64.41	35	371910	45193	162781.7	0	16.505995	0.17011078	3492	1919	42	19	1	1	1	1	1	1	1	2	1	20	20	MQ	MQ	10737_0	TRUE	GCA_963809315	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	N/A	N/A	N/A	46.45	0.95695	AEVM02000006.31074.32539 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;Methylocystis sp. ATCC 49242	95.7	1473
MFD01689.bin.1.1	MFD01689	96.72	1.36	20	99.9	2.1	0.848	2922298	286.7903158	4802004	60.27	7	2922298	172297	2026822.6	0	23.802843	0.28065985	4662	1642	49	20	1	1	1	1	1	1	1	2	1	21	21	HQ	HQ	10447_1	TRUE	GCA_963817705	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	91.56	0.94046	JX505155.1.1403 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Hyphomicrobiaceae bacterium	99.1	1403
MFD01689.bin.1.51	MFD01689	97.02	1.88	16.67	99.95	1.06	0.866	839012	302.6897909	4254128	63.33	10	1499558	179781	878867	0	73.451004	0.8660624	4001	724	55	21	1	1	1	1	1	1	1	2	1	22	21	HQ	HQ	10729_0	TRUE	GCA_963743565	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	GCF_027925445.1	82.83	0.283	94.24	0.99077	CP019948.3984524.3986015 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;Methylocystis bryophila	99.7	1484
MFD01689.bin.1.60	MFD01689	90.5	3.16	33.33	91	2.34	0.819	182507	271.9397418	4840520	58.88	33	533135	73910	253385.6	0	14.666631	0.17293458	4682	1841	48	21	2	2	2	2	2	2	2	4	2	21	21	HQ	HQ	10398_0	TRUE	GCA_963839435	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	90.35	0.93045	JX505155.1.1403 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Hyphomicrobiaceae bacterium	99.4	1403
MFD01689.bin.2.13	MFD01689	54.23	2.69	70	56.31	2.74	0.809	66169	264.1725613	3420919	59.54	73	208792	22815	79246.9	0	22.845867	0.26937613	3352	1389	32	19	0	0	0	0	0	0	0	0	0	19	19	MQ	MQ	10393_1	TRUE	GCA_963757955	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	51.1	0.9308	NA	NA	NA
MFD01689.bin.2.18	MFD01689	84.26	1.41	100	78.43	3.11	0.817	352429	242.2344759	3556674	64.38	12	1084279	262917	545344.6	0	33.05032	0.38969705	3882	1461	47	20	1	1	1	1	1	1	1	2	1	21	21	MQ	MQ	10763_1	TRUE	GCA_963757985	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	N/A	N/A	N/A	68.82	0.97187	AJ563926.1.1418 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocella;Methylocella palustris	99.2	1418
MFD01689.bin.2.24	MFD01689	87.35	3.01	61.11	84.73	3.46	0.808	242421	262.3322063	4588447	59.23	28	694734	98774	343725.9	0	13.303028	0.15685631	4549	1876	45	19	1	1	1	1	1	1	1	2	1	20	19	MQ	MQ	10392_1	TRUE	GCA_963829495	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	79.36	0.93147	JF733443.1.1444 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Rhodomicrobium sp.	99.1	1444
MFD01689.bin.2.26	MFD01689	85.7	7.73	76.67	86.4	6.48	0.792	182027	234.8517104	5785697	61.04	90	465454	28360	182597.2	0	13.071304	0.15412404	6041	3320	56	22	2	2	2	2	2	2	2	4	2	23	22	MQ	MQ	10413_1	TRUE	GCA_963779955	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	74.54	0.94695	AB364708.1.1402 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured bacterium	99.6	1402
MFD01689.bin.2.34	MFD01689	75.81	2.86	30	75.41	2.65	0.792	146869	233.0982318	4914087	61.91	80	511623	27728	208838	0	12.953362	0.15273339	5229	2830	43	20	0	0	0	0	0	0	0	0	0	20	20	MQ	MQ	10407_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	65.6	0.93198	NA	NA	NA
MFD01689.bin.2.42	MFD01689	84.61	3.96	64.29	85.77	4.97	0.833	235561	282.7770191	5200145	59.63	33	389965	99621	238319.6	0	22.835945	0.26925915	4996	1943	42	21	1	1	1	1	1	1	1	2	1	22	22	MQ	MQ	10394_0	TRUE	GCA_963817495	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	83.91	0.93286	JF733443.1.1444 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Rhodomicrobium sp.	99.2	1444
MFD01689.bin.2.43	MFD01689	51.83	0.2	100	50.17	1.19	0.801	92256	225.2052803	2823951	62.43	40	177940	38197	98712.1	0	11.487469	0.13544899	3133	1633	27	15	1	1	1	1	1	1	1	2	1	15	15	MQ	MQ	10410_0	TRUE	GCA_963838435	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	53.41	0.92884	AB364708.1.1402 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured bacterium	99.1	1402
MFD01689.bin.2.68	MFD01689	55.66	2.28	8.33	64.41	3.57	0.785	46741	223.5614305	4953352	59.79	150	163747	14769	61261	0	9.882417	0.1165238	5514	3136	39	18	0	0	0	0	0	0	0	0	0	18	18	MQ	MQ	10406_2	TRUE	GCA_963783225	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	46.67	0.93485	NA	NA	NA
MFD01689.bin.2.75	MFD01689	84.2	4.86	90.48	83.03	4.11	0.82	95629	253.6058713	2953492	63.6	43	283245	29129	118866.1	0	30.252722	0.35671052	3092	1092	38	18	1	1	1	1	1	1	1	2	1	18	18	MQ	MQ	10741_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	GCA_003152255.1	93.86	0.737	66.18	0.99727	AY080914.1.1449 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;uncultured bacterium	99.5	1450
MFD01689.bin.2.79	MFD01689	56.39	0	0	52.52	3.29	0.828	158494	240.6654711	2658894	61.48	36	246085	30966	138453	0	11.05358	0.130333	2947	1179	30	16	0	0	0	0	0	0	0	0	0	16	16	MQ	MQ	10744_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	N/A	N/A	N/A	50.47	0.97821	NA	NA	NA
MFD01689.bin.2.84	MFD01689	93.88	1.46	66.67	90.3	1.19	0.823	402455	269.5244456	3662097	61.95	23	931301	99530	514228.3	0	14.19675	0.16739419	3580	894	52	21	1	1	1	1	1	1	1	2	1	22	22	HQ	HQ	10758_0	TRUE	GCA_963829515	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	GCF_000427445.1	80.65	0.164	87.88	0.97426	HQ844540.1.1445 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Incertae Sedis;uncultured bacterium	99	1445
MFD01689.bin.3.105	MFD01689	75.82	3.76	84.62	76.94	2.38	0.869	93919	296.3216319	3227434	64.1	65	306484	21458	134696.2	0	91.55446	1.0795207	3117	586	35	18	0	0	0	0	0	0	0	0	0	18	18	MQ	MQ	10726_2	TRUE	GCA_963798515	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	GCF_027925445.1	82.04	0.226	74.64	0.98904	NA	NA	NA
MFD01689.bin.3.63	MFD01689	69.53	6.85	88.46	72.08	7.75	0.815	110183	287.1822045	3964792	59.46	45	280115	47630	124778.8	0	73.58164	0.8676028	3653	1328	33	16	2	2	2	2	2	2	2	4	2	16	15	MQ	MQ	10393_3	TRUE	GCA_963838305	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	68.38	0.93234	JX505155.1.1403 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Hyphomicrobiaceae bacterium	99.3	1403
MFD01689.bin.3.64	MFD01689	53.45	0	0	54.48	5.19	0.861	66187	285.2009698	1837837	64.3	32	117851	30846	75481.2	0	52.001724	0.6131535	1825	418	20	14	0	0	0	0	0	0	0	0	0	14	14	MQ	MQ	10726_1	TRUE	GCA_963716645	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	GCF_027925445.1	82.59	0.216	36.82	0.99186	NA	NA	NA
MFD01716.bin.1.173	MFD01716	96.76	2.14	0	100	1.63	0.856	539711	283.6648746	4976655	59.47	25	1557406	88497	711694.5	0	78.35853	0.5055747	4919	1775	55	22	1	1	1	1	1	1	1	2	1	23	22	HQ	HQ	10421_1	TRUE	GCA_963798575	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	92.47	0.95329	AB364708.1.1402 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured bacterium	99.4	1402
MFD01716.bin.3.40	MFD01716	84.48	5.96	100	88.1	5.27	0.835	77684	271.7397824	3306119	58.56	63	148816	24286	82072.4	0	41.18827	0.2657496	3253	782	29	16	0	0	0	0	0	0	0	0	0	16	16	MQ	MQ	10198_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__Methylocella sp003162995	GCA_003162995.1	96.04	0.714	76.33	N/A	NA	NA	NA
MFD01716.bin.3.99	MFD01716	90.56	5.85	92.59	88.8	6.82	0.843	178218	288.7338221	3216211	63.43	31	339170	49835	172009.4	0	169.46677	1.0934114	3102	702	35	18	1	1	1	1	1	1	1	2	1	19	19	MQ	MQ	10741_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	N/A	N/A	N/A	81.91	0.99488	AY080914.1.1449 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;uncultured bacterium	99.6	1449
MFD01828.bin.2.52	MFD01828	68.51	4.39	100	70.82	4.65	0.836	49541	267.323646	2169087	64.13	55	115610	20153	54995.9	0	93.75067	1.5050251	2224	743	25	15	1	1	1	1	1	1	1	2	1	15	14	MQ	MQ	10741_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	N/A	N/A	N/A	64.27	0.9949	AY080914.1.1449 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocystis;uncultured bacterium	99.6	1449
MFD01828.bin.2.60	MFD01828	60.71	2.89	90.91	51.24	2.2	0.767	36804	198.6411871	4275872	61.6	174	131360	11871	44969.9	0	10.569646	0.16967967	5104	3260	35	17	0	0	0	0	0	0	0	0	0	17	17	MQ	MQ	10414_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	48.22	0.966	NA	NA	NA
MFD01872.bin.2.261	MFD01872	84.21	2.53	58.33	86.95	5.53	0.827	180421	241.1588015	3477634	58.68	31	367924	45610	206423.2	0	18.113535	0.074185416	3789	1358	43	19	1	1	1	1	1	1	1	2	1	20	20	MQ	MQ	10197_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocella;s__	GCF_029855125.1	93.99	0.787	70.9	0.99832	HG528987.1.1249 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylocapsa;uncultured bacterium	99.5	1250
MFD01872.bin.2.8	MFD01872	88.25	7.93	76.67	88.17	7.47	0.81	100471	250.2735949	5215617	59.21	113	264667	22375	110089.7	0	14.831933	0.060745362	5384	2314	49	20	1	2	2	1	2	2	1	4	2	20	19	MQ	MQ	10396_1	FALSE	NA	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__Rhodomicrobium;s__	N/A	N/A	N/A	84.51	0.9294	JF733443.1.1444 Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhodomicrobiaceae;Rhodomicrobium;uncultured Rhodomicrobium sp.	99.4	1119
MFD02134.bin.2.130	MFD02134	82.59	2.82	71.43	82.36	3.13	0.825	165715	263.5401851	3915986	64.04	36	361269	44523	185353.4	0	17.439186	0.09998685	3960	1157	35	18	0	0	0	0	0	0	0	0	0	18	17	MQ	MQ	10730_0	TRUE	GCA_963760695	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylocystis;s__	GCF_027925445.1	84.05	0.341	78.67	0.99213	NA	NA	NA
