bin	completeness_checkm1	contamination_checkm1	strain_heterogeneity_checkm1	completeness_checkm2	contamination_checkm2	contigs	longest_contig	genome_size	gc	contig_n50	contig_n90	aun	n_per_100kb	cov	r_abund	bakta_cds_all	bakta_cds_hyp	bakta_cds_dens	bakta_trna_all	bakta_trna_uniq	bakta_16s	bakta_23s	bakta_5s	barrnap_16s	barrnap_23s	barrnap_5s	custom_trna_uniq	bin_status	cbin_status	gunc_css	gunc_rrs	gunc_pass	var_n	var_perc	gtdb_tax	gtdb_ref	gtdb_ani	gtdb_af	gtdb_msa	gtdb_red	gtdb_warning	rrna_tax	rrna_tophit	rrna_alnlen	wf_name	wf_read_mode	wf_binning_mode	wf_v	wf_date	accession
MFD04830-1.bin.2.186	80.41	1.35	33.33	77.91	1.73	15	506591	2618832	59.12	270804	95226	284154.9	0	6.2136817	0.05474054	2457	543	90.7	38	19	0	2	2	0	2	2	19	MQ	N	0.03	0.49	True	6349	0.242	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Chthoniobacterales;f__UBA10450;g__AV80;s__	GCA_035630155.1	83.42	0.156	67.95	0.96064	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977875665.1
MFD04830-1.bin.2.214	60.34	0	0	56.05	0.13	33	231707	2413645	66.08	124718	37300	126681.4	0	7.4306226	0.065461405	2234	353	87.7	30	19	1	1	1	1	1	1	18	MQ	N	0.11	0.66	True	30725	1.273	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas;s__	GCA_014380115.1	93.9	0.664	49.4	0.99105	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	KC820654 d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter_G_615667;s__Lysobacter_G-lycopersici	97.8	1512	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977872955.1
MFD04830-1.bin.2.227	73.33	1.3	0	75.34	2.9	52	367168	4718557	58.67	100834	57343	133356.6	0	4.916331	0.043311298	4357	1557	90.4	29	16	0	0	0	0	0	0	15	MQ	N	0.06	0.43	True	5620	0.119	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Palsa-187;s__	N/A	N/A	N/A	57.68	0.93277	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977887435.1
MFD04830-1.bin.2.24	58.28	0	0	82.73	4.89	23	846668	4267067	63.88	311211	85858	372723.3	0	8.858822	0.07804337	4178	1017	87.1	40	18	1	1	1	1	2	1	17	MQ	N	0.04	0.59	True	35394	0.829	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__JAFKKS01;s__	N/A	N/A	N/A	56.18	0.87154	N/A	MJ034-1-barcode26-umi25512bins-ubs-5 d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales_505101;f__Xanthobacteraceae;g__;s__	95.8	1462	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977876315.1
MFD04830-1.bin.2.258	66.91	0.55	33.33	62.94	3.15	85	217065	3850579	42.88	59717	27967	70681.8	0	5.9164114	0.052121684	3562	1151	87.6	27	16	1	1	0	1	1	0	15	MQ	N	0.11	0.48	True	28576	0.742	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JAJKIP01;s__	N/A	N/A	N/A	67.45	0.97725	N/A	MJ034-1-barcode34-umi24324bins-ubs-5 d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__	98.3	1506	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877775.1
MFD04830-1.bin.2.276	76.5	0	0	74.92	2.43	12	905990	2402277	68.6	608563	41973	646466.3	0	7.1268435	0.0627852	2527	887	91	32	15	1	1	1	1	1	1	15	MQ	N	0.03	0.42	True	29731	1.238	d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__HRBIN12;g__JAOUEA01;s__	GCA_035535815.1	92.79	0.559	71.47	0.99167	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	GB-GCA-005884925.1-VAYU01000030.1 d__Bacteria;p__Actinomycetota;c__UBA4738_401450;o__UBA4738;f__HRBIN12;g__AC-51;s__AC-51-sp005883885	95.2	1518	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977873535.1
MFD04830-1.bin.2.281	70.89	0.85	0	68.63	0.33	35	432276	4398258	57.76	206191	56064	208631.4	0	6.1527886	0.05420409	3791	1152	85.8	36	19	0	1	1	0	1	1	16	MQ	N	0.06	0.37	True	22583	0.513	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__DATBAX01;s__	N/A	N/A	N/A	71.51	0.96563	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977875385.1
MFD04830-1.bin.2.29	60.13	1.33	0	59.97	0.11	23	197072	1626886	64.61	120522	34348	113780.5	0	6.12172	0.053930387	1687	392	90	27	16	1	1	1	1	2	1	17	MQ	N	0.07	0.57	True	17166	1.055	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__	GCA_030773115.1	87.84	0.507	62.59	0.98724	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	KY287249 d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae_486827;g__Sphingomonas_R_483214;s__Sphingomonas_R_483214-rhizophila	98.4	1395	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877815.1
MFD04830-1.bin.2.31	69.29	0.5	0	75.69	1.27	7	1169461	1898939	63.43	1169461	251934	818795.4	0	10.871363	0.09577322	1895	456	84.5	33	19	1	1	1	1	2	1	20	MQ	N	0.04	0.58	True	18660	0.983	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__Methyloceanibacter sp014380485	GCA_014380485.1	95.93	0.611	71.39	N/A	N/A	LPWF01000000 d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales_505101;f__Methyloligellaceae;g__Methyloceanibacter;s__Methyloceanibacter-superfactus	97.5	1489	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877855.1
MFD04830-1.bin.2.328	51.33	2.58	100	51.35	3.18	84	234989	4848032	71.43	69372	31409	88463.4	0	5.1452	0.04532756	4219	2263	89.8	18	11	0	0	0	0	0	0	11	MQ	N	0.12	0.24	True	7201	0.149	d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__DATFRY01;s__	GCA_035262925.1	84.27	0.164	48.29	0.93821	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977873635.1
MFD04830-1.bin.2.345	53.12	1.36	33.33	59.35	1.01	55	356418	4248618	62.83	97461	37259	127042.4	0	4.6739316	0.04117584	4362	1262	88.8	38	19	1	1	1	1	1	1	19	MQ	N	0.23	0.67	True	1952	0.046	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__	N/A	N/A	N/A	63.19	0.9723	N/A	RS-GCF-900240945.1-NZ-OESG01000010.1 d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium-gadium	98	1483	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977876215.1
MFD04830-1.bin.2.348	67.21	3.27	72.73	76.32	1.34	32	535059	3144844	70.12	153900	58262	209119	0	6.9707127	0.061409745	3116	836	89.1	24	16	0	0	0	0	0	0	15	MQ	N	0.07	0.58	True	39699	1.262	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__QHCD01;g__DASXJE01;s__	GCA_036497565.1	94.25	0.797	71.66	0.99599	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877975.1
MFD04830-1.bin.2.35	67.52	5.74	7.69	69.59	5.87	86	183840	4208044	55.53	60568	25707	75357.1	0	5.257692	0.04631858	3715	1785	86.6	47	19	0	0	0	0	0	0	18	MQ	N	0.1	0.44	True	22018	0.523	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Limisphaerales;f__DASXHY01;g__DASXHY01;s__	N/A	N/A	N/A	53.04	0.95965	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977878155.1
MFD04830-1.bin.2.360	86.14	7.22	23.33	85.24	6.32	58	589149	6532541	63.6	183275	56338	232594.1	0	6.9187903	0.060952324	5765	1330	90.3	38	21	1	1	0	1	1	0	20	MQ	N	0.15	0.39	True	31993	0.49	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__DASYEW01;s__	N/A	N/A	N/A	80.4	0.95895	N/A	MJ033-1-barcode36-umi34669bins-ubs-5 d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__Povalibacter;s__	98.8	1507	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977888015.1
MFD04830-1.bin.2.368	63.04	4.55	0	73.81	8.53	32	239613	1660204	39.85	74311	22977	94301.9	0	4.217771	0.03715721	1692	899	89.9	36	18	1	1	1	2	1	0	18	MQ	N	0.1	0.35	True	1942	0.117	d__Bacteria;p__Patescibacteriota;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__JACDET01;s__	N/A	N/A	N/A	46.84	0.94795	N/A	GB-GCA-017991775.1-JAGOPV010000002.1 d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Levybacterales;f__UBA12049;g__;s__	83.5	1593	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977875685.1
MFD04830-1.bin.2.382	51.72	0	0	59.03	0.89	43	329627	3805424	69.03	137518	36070	143910.2	0	7.0519156	0.062125113	3579	1236	86.9	32	16	0	0	0	0	0	0	16	MQ	N	0.11	0.46	True	34815	0.915	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Palsa-465;s__	N/A	N/A	N/A	51.93	0.9457	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977874225.1
MFD04830-1.bin.2.384	79.55	2.04	71.43	80.76	3.6	25	666463	4382063	58.44	302158	83160	331061.2	0	7.8299036	0.068978935	4147	2076	90.2	45	19	1	1	1	1	2	1	19	MQ	N	0.02	0.33	True	15347	0.35	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__DASZXJ01;s__	N/A	N/A	N/A	75.81	0.9205	N/A	MJ034-1-barcode31-umi18504bins-ubs-12 d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__Tepidisphaeraceae;g__UBA2421;s__	93	1473	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977874875.1
MFD04830-1.bin.2.395	84.62	4.27	0	78.87	4.34	20	900129	5058895	58.68	518855	109254	491966.9	0	7.671578	0.067584135	4497	1088	84.2	38	18	1	1	1	1	1	1	18	MQ	N	0.11	0.43	True	65800	1.301	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Gp1-AA133;s__	GCA_035652655.1	85.95	0.367	78.46	0.98646	N/A	MJ034-1-barcode40-umi28230bins-ubs-3 d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Gp1-AA133;s__Gp1-AA133-sp003225465	99.7	1471	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977876875.1
MFD04830-1.bin.2.4	58.09	1.98	0	62.63	4.46	75	307326	5188501	47.94	105130	34163	111014.1	0	5.0646877	0.044618275	4705	1830	81.1	38	17	3	3	7	3	3	7	17	MQ	N	0.16	0.46	True	14366	0.277	d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Dictyobacter;s__	N/A	N/A	N/A	56.24	0.96777	N/A	MJ034-1-barcode40-umi13987bins-ubs-22 d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Dictyobacter;s__	99.6	1450	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977872835.1
MFD04830-1.bin.2.412	62.09	0.88	0	60.86	0.65	54	186989	3876015	60.25	88888	42607	94988.4	0	6.1396527	0.054088373	3649	1410	89.5	20	12	0	0	0	0	0	0	12	MQ	N	0.05	0.46	True	41698	1.076	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__JACOSH01;s__	N/A	N/A	N/A	56.1	0.90799	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977874945.1
MFD04830-1.bin.2.451	55.17	1.72	0	81.98	6.24	44	323747	4026997	56.32	194559	40765	168648.1	0	6.0950465	0.053695407	3557	931	88.2	24	14	1	1	1	1	1	1	14	MQ	N	0.04	0.45	True	34036	0.845	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__DATBAT01;s__	N/A	N/A	N/A	47.36	0.94282	N/A	MJ034-1-barcode33-umi28625bins-ubs-3 d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__;s__	99.4	1485	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977872755.1
MFD04830-1.bin.2.455	62.07	3.39	38.89	57.78	3.16	25	311426	2004969	71.82	199130	32205	165732	0	6.438917	0.056724798	2026	741	91.9	25	15	1	1	1	1	1	1	15	MQ	N	0.06	0.48	True	16761	0.836	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Thermoleophilaceae;g__AC-37;s__	N/A	N/A	N/A	46.92	0.90144	Genome has more than 10.8% of markers with multiple hits	G005883215 d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__AC-64;s__AC-64-sp005883215	93.9	1114	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877575.1
MFD04830-1.bin.2.456	63.38	1.72	0	53.75	0.88	14	721317	1701518	69.62	227651	57281	382789.6	0	7.2691708	0.06403906	1736	537	91.3	31	17	1	1	1	1	1	1	17	MQ	N	0.02	0.42	True	16181	0.951	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__JAICNY01;s__	N/A	N/A	N/A	55.48	0.90462	N/A	G001644475 d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__;s__	95.2	874	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877275.1
MFD04830-1.bin.2.459	73.5	2.56	0	78.98	2.2	33	525582	4455592	58.07	175772	78252	243910.3	0	6.818566	0.060069375	3841	951	86.1	43	21	1	1	2	1	1	2	20	MQ	N	0.03	0.44	True	25180	0.565	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Sulfotelmatobacter;s__	N/A	N/A	N/A	75.44	0.96627	N/A	MJ034-1-barcode31-umi25929bins-ubs-5 d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__SbA1;g__Gp1-AA122;s__	99.9	1472	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977876225.1
MFD04830-1.bin.2.462	86.21	5.28	0	97.15	3.5	4	4475853	6090638	70.74	4475853	1066848	3500871.6	0	11.399334	0.100424476	6003	1019	93.5	44	21	1	1	0	1	1	0	21	MQ	N	0.01	0.54	True	47384	0.778	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__CAMLFJ01;s__	GCA_035312605.1	94.17	0.793	85.21	0.992	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	G001788395 d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__UBA12499;s__UBA12499-sp001788395	96.5	942	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977874535.1
MFD04830-1.bin.2.479	78.9	1.35	16.67	83.66	4.54	47	291326	4548271	43	129729	51862	138633.8	0	4.8796215	0.0429879	3855	2010	88	28	18	0	1	1	0	1	1	18	MQ	N	0.08	0.41	True	3899	0.086	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__JAPLDB01;s__	N/A	N/A	N/A	76.39	0.97191	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877095.1
MFD04830-1.bin.2.490	51.59	0	0	57.93	3.12	30	1721542	3814320	55.53	422047	49315	860321.4	0	10.343725	0.0911249	3863	1195	83.7	30	20	1	1	0	1	1	0	20	MQ	N	0.03	0.48	True	54658	1.433	d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__DP-20;s__	N/A	N/A	N/A	58.34	0.93598	N/A	MJ033-1-barcode39-umi42688bins-ubs-3 d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__UBA9968;f__UBA9968;g__;s__	99.8	1527	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977876605.1
MFD04830-1.bin.2.528	53.35	0.85	100	50.81	2.38	24	379346	1866877	69.48	99218	31566	165673.5	0	6.884067	0.06064642	2044	860	86.8	23	16	0	0	0	0	0	0	14	MQ	N	0.07	0.42	True	25701	1.377	d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__HRBIN12;g__AC-51;s__	N/A	N/A	N/A	52.46	0.95036	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977874705.1
MFD04830-1.bin.2.55	85.47	0.51	83.33	82.55	4.28	20	863348	5119962	73.51	365041	157555	450256.2	0	8.164726	0.07192862	5060	1237	91.9	43	20	1	1	0	1	1	0	20	MQ	N	0.03	0.56	True	15522	0.303	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__;s__	N/A	N/A	N/A	79.13	0.84142	N/A	G000425945 d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__Solirubrobacter-sp000425945	97.6	1535	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977878135.1
MFD04830-1.bin.2.569	65.67	1.72	0	79	3.3	17	640016	4234539	65.56	431593	152903	426137.8	0	8.840821	0.0778848	4067	325	91.5	34	17	2	2	2	2	2	2	17	MQ	N	0.59	0.79	False	46733	1.104	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium sp036519055	N/A	N/A	N/A	61.08	N/A	N/A	AF480598 d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium-cookii	99.2	1471	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977875405.1
MFD04830-1.bin.2.578	50.77	2.58	14.29	60.85	0.31	67	342298	5057202	69.16	113339	38179	134628.4	0	5.899449	0.051972248	4687	2566	91.1	16	11	1	0	0	1	0	0	11	MQ	N	0.11	0.3	True	23486	0.464	d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__SHYZ01;g__DATFWE01;s__	N/A	N/A	N/A	54.03	0.89591	N/A	G003694735 d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Bin5;s__	90.2	1060	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877265.1
MFD04830-1.bin.2.598	89.02	1.01	0	84.33	0.72	3	2800398	2899471	56.26	2800398	2800398	2706483.8	0	11.4358015	0.100745745	2707	664	90.8	42	20	1	1	1	1	1	1	21	MQ	N	0	0.57	True	13427	0.463	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Chthoniobacterales;f__UBA10450;g__;s__	N/A	N/A	N/A	77.48	0.83944	N/A	G003217835 d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__Udaeobacter-sp003217835	96.7	944	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977873755.1
MFD04830-1.bin.2.603	62.01	3.59	0	64.77	2.02	18	343414	1701110	68.67	147664	36818	183431.5	0	5.962947	0.05253165	1819	481	94.5	22	13	0	0	0	0	0	0	12	MQ	N	0.07	0.34	True	7852	0.462	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Palsa-739;s__	N/A	N/A	N/A	50.87	0.91358	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977887735.1
MFD04830-1.bin.2.678	69.32	2.62	57.14	73.91	1.01	57	361769	5111169	63.05	119152	38050	144534.7	0	5.5572605	0.048957683	4764	1327	81.8	35	20	1	1	1	1	2	1	19	MQ	N	0.08	0.38	True	8893	0.174	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__AWTP1-13;s__	N/A	N/A	N/A	62.79	0.96588	N/A	MJ009-1-barcode32-umi30399bins-ubs-12 d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales_505101;f__Hyphomicrobiaceae;g__Pedomicrobium;s__	96.9	1453	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977877375.1
MFD04830-1.bin.2.724	58.23	1.35	28.57	52.9	1.58	35	211237	2516552	64.42	113854	33420	112926.4	0	4.8864665	0.043048203	2338	404	90	31	19	0	0	0	0	0	0	19	MQ	N	0.09	0.66	True	12453	0.495	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Pinirhizobacter;s__	GCF_015905305.1	90.98	0.701	66.88	0.99358	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977872845.1
MFD04830-1.bin.2.793	89.27	2.59	0	93	4.2	32	343928	5039353	60.4	228177	85478	208284.7	0	6.0531597	0.053326394	4488	1533	86.7	68	21	1	1	1	1	1	1	21	HQ	N	0.07	0.5	True	3585	0.071	d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Edaphobacter;s__	N/A	N/A	N/A	67.24	0.97024	N/A	MJ030-2-barcode50-umi11040bins-ubs-49 d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;g__Granulicella_C_416163;s__Granulicella_C_416163-cerasi	100	1469	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977878085.1
MFD04830-1.bin.2.818	77.15	3.16	50	76.51	7.81	48	459626	4812532	65.73	158670	50008	174211.2	0	5.940075	0.05233015	4783	1472	85.5	36	18	0	0	0	0	0	0	18	MQ	N	0.09	0.4	True	19125	0.397	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Labraceae;g__;s__	N/A	N/A	N/A	72.06	0.85543	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977887415.1
MFD04830-1.bin.2.820	51.99	0.85	0	51.7	0.42	18	915997	2322759	72.26	279421	63308	453245.1	0	10.566837	0.093090445	2487	899	90.7	22	14	1	1	0	1	1	0	13	MQ	N	0.02	0.56	True	38756	1.669	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__DASQFQ01;s__	N/A	N/A	N/A	45.47	0.92466	N/A	G000425945 d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__Solirubrobacter-sp000425945	96.5	1536	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977874905.1
MFD04830-1.bin.2.838	70.11	0.63	100	87.62	0.08	8	144434	680431	41.95	104020	52511	103163.2	0	5.6897535	0.050124902	749	374	89.7	38	20	0	1	1	0	1	1	20	MQ	N	0	0.47	True	132	0.019	d__Bacteria;p__Patescibacteriota;c__Minisyncoccia;o__UBA9973;f__CAJBRS01;g__JADGRH01;s__	N/A	N/A	N/A	56.71	0.92108	N/A	NA	NA	NA	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977873615.1
MFD04830-1.bin.2.85	66.5	3.09	66.67	66.96	3.15	27	301492	2360395	60.14	120075	43065	147595	0	6.6271076	0.058382694	2328	447	92.7	45	22	1	1	0	1	1	0	22	MQ	N	0.07	0.55	True	15481	0.656	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JACCZX01;s__	GCA_039931935.1	88.49	0.21	65.97	0.98414	N/A	MJ034-1-barcode42-umi27491bins-ubs-4 d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A_595421;g__Duganella_570799;s__	98.7	1500	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977887285.1
MFD04830-1.bin.2.861	68.94	3.1	50	71.47	7.42	39	683127	5534470	70.79	224976	65404	287906.3	0	8.868383	0.078127615	5539	1423	93.3	37	19	1	1	0	1	1	0	17	MQ	N	0.1	0.61	True	58594	1.059	d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__	N/A	N/A	N/A	65.57	0.93488	N/A	G000423665 d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__Solirubrobacter-soli	98.6	1535	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977874015.1
MFD04830-1.bin.2.89	59.4	1.71	100	65.35	6.49	34	430215	4134757	55.05	191758	52582	207802.3	0	6.2672887	0.0552128	3456	1110	84.7	32	17	1	1	0	1	1	0	16	MQ	N	0.03	0.48	True	31079	0.752	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__	N/A	N/A	N/A	49.62	0.95112	N/A	MJ033-1-barcode28-umi31997bins-ubs-7 d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__PSRF01;s__PSRF01-sp002427845	99.3	1530	MFD04830-1	Nanopore-simplex	extended	1.2.1	2025-10-07	GCA_977874325.1
